,0,non_dw,dw
0,0,0.17066590165502074,0.16477000852976054
1,000010,0.1700526399524096,0.16533217918199525
2,000020,0.17033984856488818,0.16624678048162586
3,000030,0.1710892344945877,0.16714959377308108
4,000040,0.17279786008841996,0.16827064539510983
5,000050,0.17509313464608833,0.16975595583962813
6,000060,0.1789358129923802,0.17144434222631094
7,000070,0.1841445742050976,0.17342076568031428
8,000080,0.19076923076923077,0.1756534024016953
9,000090,0.19867614229033234,0.17807827310541047
10,000100,0.2087477872376296,0.18090115384918726
11,000200,0.4473756192444458,0.22763202152707704
12,000300,0.8557242162008796,0.3107001889081722
13,000400,1.2431621465666474,0.42633200638733326
14,000500,1.5414648910411621,0.5626038694302468
15,000600,1.7287897417881608,0.7103419689119171
16,000700,1.850019179133103,0.8617282659835851
17,000800,1.934742833909331,1.0147927115738684
18,000900,1.9928011856870633,1.1665671641791044
19,001,2.041994750656168,1.3060789496120726
20,002,2.2407454684707684,2.296344016749879
21,003,2.351389278697727,2.685174474648159
22,004,2.4679210363972857,2.8351648351648353
23,005,2.5414731254147314,2.920252064319861
24,006,2.6177206145051803,2.971878515185602
25,007,2.68206106870229,3.0099490976399816
26,008,2.7648748461222814,3.04589774078478
27,009,2.8474126492702343,3.0728025322619916
28,01,2.9511385199240987,3.0856291883842144
29,011,3.0216515609264856,3.1063291139240508
30,012,3.1345315904139435,3.121775025799794
31,013,3.192149970708846,3.125784518828452
32,014,3.2659033078880406,3.118581259925887
33,015,3.331967213114754,3.1273559504577273
34,016,3.402511078286558,3.1392301392301394
35,017,3.5327935222672067,3.1431334622823983
36,018,3.59094865100087,3.164695945945946
37,019,3.612511671335201,3.166429182103163
38,02,3.6316316316316315,3.1666186220812915
39,021,3.6652267818574513,3.182296231375986
40,022,3.6727898966704937,3.1898846495119786
41,023,3.7531486146095716,3.1924460431654675
42,024,3.8613037447988905,3.2092811646951773
43,025,3.8564954682779455,3.2164316370324952
44,026,3.814754098360656,3.213865676261219
45,027,3.867513611615245,3.2279711508309816
46,028,3.997955010224949,3.2290609137055837
47,029,3.9619686800894853,3.2181933842239188
48,03,3.9875930521091814,3.208520179372197
49,031,4.044692737430168,3.1967160334835802
50,032,4.055384615384615,3.1929938371715862
51,033,4.044520547945205,3.1952334312765265
52,034,4.224,3.199670510708402
53,035,4.205479452054795,3.1920903954802258
54,036,4.183673469387755,3.1927710843373496
55,037,4.204678362573099,3.2010814464346065
56,038,4.228187919463087,3.18491074435837
57,039,4.294573643410852,3.172274562584118
58,04,4.269565217391304,3.171864406779661
59,041,4.463157894736842,3.177518848526388
60,042,4.463414634146342,3.169193659545141
61,043,4.22972972972973,3.1677688827010093
62,044,4.0,3.1456884561891516
63,045,3.71875,3.1387526278906797
64,046,3.5344827586206895,3.1493967352732435
65,047,3.42,3.1553641908862575
66,048,3.1666666666666665,3.1615831517792303
67,049,3.0930232558139537,3.167891256429096
68,05,3.7241379310344827,3.1579918789221115
