,0,non_dw,dw
0,0,0.7497055417891293,0.7550260235924648
1,000010,0.74912718956926,0.7551109679681077
2,000020,0.748900318540094,0.7553377521498796
3,000030,0.7484290620059424,0.7556256415827901
4,000040,0.7481045742776165,0.7558258846550857
5,000050,0.7476581972073931,0.7560829857962096
6,000060,0.7479701455617609,0.7562736095825952
7,000070,0.7481519108273488,0.75643729115732
8,000080,0.7479649154688242,0.7566899002371272
9,000090,0.7483491260477364,0.756996531533024
10,000100,0.7488729752132449,0.7573602694068552
11,000200,0.7534243343985667,0.7616954965117635
12,000300,0.7548295458086075,0.7673501450884094
13,000400,0.7555388526434285,0.7726911417086432
14,000500,0.7560729626003272,0.7766407652307332
15,000600,0.7562553633593124,0.7792887061679425
16,000700,0.7564339474950847,0.7817705809709162
17,000800,0.7569439366204288,0.7836660687563044
18,000900,0.7569251757429712,0.7849012238049277
19,001,0.7571341481300228,0.7865308457500526
20,002,0.757348642344187,0.7908480626043165
21,003,0.7561973756715683,0.79131265625815
22,004,0.755354256135907,0.7914303081474526
23,005,0.7545812595861696,0.7912936110583993
24,006,0.7535847236858867,0.7911867159799127
25,007,0.7528038056016667,0.7911426721377266
26,008,0.7529214357411804,0.7911298058446429
27,009,0.7527832623132977,0.790864329742874
28,01,0.7515358083721319,0.7905751316676495
29,011,0.7499355272731256,0.7904619435189447
30,012,0.749023823986432,0.7901409412987154
31,013,0.7481999706617636,0.7897750724967899
32,014,0.7480699769423448,0.7894031160446123
33,015,0.7460941762947906,0.7891034743466409
34,016,0.7454086425582915,0.789184676122587
35,017,0.7448310810107716,0.7889941815406525
36,018,0.7434449544702274,0.7888968148562664
37,019,0.742127105172643,0.7886142249492427
38,02,0.739589712591803,0.7884079545851902
39,021,0.7383993493070126,0.788288570680866
40,022,0.735410051720476,0.7880998498174284
41,023,0.7345524506260305,0.788131120069298
42,024,0.7338660371764536,0.7876868675759546
43,025,0.7347957134856132,0.7875279379774437
44,026,0.7335732916258745,0.7871348933339842
45,027,0.7343022177055011,0.7869299315143651
46,028,0.7344319172495731,0.7867799457101691
47,029,0.7319591624490255,0.7867584288005159
48,03,0.7313400815235056,0.7864591834386941
49,031,0.7294586631852155,0.7864135313627837
50,032,0.7275027064029306,0.7860968797370288
51,033,0.7235026997109436,0.7858895453034712
52,034,0.7219953924097455,0.7858607558272473
53,035,0.725473006305887,0.7856358011195501
54,036,0.7236305974763781,0.7852363337549401
55,037,0.7229483204620717,0.7850543006129298
56,038,0.7233029904917633,0.7841523802661763
57,039,0.7236568273858236,0.7836083954669605
58,04,0.7256315062484479,0.7834186965984966
59,041,0.7263101391495081,0.7832513907108178
60,042,0.7223118277095497,0.7831488406778683
61,043,0.7186391634842936,0.7825559853697933
62,044,0.7118314819986916,0.7821829247339136
63,045,0.7089126544189175,0.781814449343346
64,046,0.6985645706486668,0.7817221814108729
65,047,0.6970923843959587,0.7818169316872995
66,048,0.7042224841891782,0.7818591424416622
67,049,0.6979455920167887,0.7817063397515788
68,05,0.7072711117950297,0.7815181868592848
